,grav
133091,1
13865,1
249775,1
10682,1
13708,1
144837,1
230995,1
228210,1
152116,1
9971,1
199607,1
171218,1
41962,1
48254,1
39611,1
60438,1
238834,1
215024,1
199156,1
191528,1
254397,1
61572,1
248317,1
124277,1
33795,1
162605,1
256500,1
107899,1
111846,1
133810,1
187382,1
66942,1
95102,1
39621,1
241543,1
219035,1
31597,1
228085,1
6450,1
180661,1
6960,1
184165,1
261133,1
170622,1
225795,1
56601,1
58981,1
186917,1
195469,1
94656,1
257702,1
253294,1
257523,1
232683,1
59493,1
228518,1
176469,1
107908,1
106208,1
238739,1
87527,1
62519,1
106132,1
87051,1
168100,1
190587,1
166086,1
17982,1
15219,1
65222,1
103884,1
227836,1
250970,1
247222,1
110382,1
91712,1
151562,1
40451,1
253931,1
36259,1
85258,1
170761,1
239555,1
118422,1
241605,1
235213,1
261180,1
116132,1
116477,1
132740,1
166996,1
90228,1
48504,1
108795,1
101568,1
139476,1
247850,1
30446,1
85191,1
171326,1
174460,1
168796,1
30952,1
43367,1
46944,1
59753,1
153273,1
13035,1
67589,1
165983,1
219046,1
260451,1
113529,1
140810,1
96435,1
7681,1
257458,1
65819,1
75322,1
10303,1
99170,1
64774,1
239529,1
157932,1
118118,1
33649,1
255320,1
212885,1
63951,1
156423,1
146343,1
236549,1
161953,1
179585,1
83053,1
251643,1
207951,1
1091,1
147419,1
52434,1
113548,1
142037,1
2870,1
159076,1
15243,1
147539,1
246189,1
124632,1
52015,1
215298,1
56166,1
110166,1
99995,1
213721,1
107307,1
118381,1
62040,1
250557,1
255908,1
126344,1
34721,1
225296,1
217876,1
122122,1
198073,1
258068,1
144656,1
69445,1
38107,1
13159,1
119813,1
31476,1
224260,1
86749,1
72639,1
198596,1
248171,1
228438,1
27262,1
118768,1
129057,1
118410,1
55436,1
156357,1
23854,1
171763,1
16966,1
57233,1
37014,1
65197,1
120507,1
48283,1
187956,1
46928,1
37393,1
157854,1
52083,1
225923,1
220265,1
106047,1
117170,1
253783,1
91553,1
18330,1
236005,1
151724,1
211333,1
119310,1
61849,1
60397,1
248632,1
207717,1
28929,1
260497,1
186114,1
116241,1
167677,1
121643,1
25998,1
171379,1
171449,1
133152,1
80147,1
11539,1
238870,1
72985,1
144809,1
13878,1
71874,1
217643,1
6482,1
39417,1
52172,1
53763,1
55205,1
21420,1
69418,1
177154,1
216622,1
103604,1
223592,1
111154,1
68725,1
227333,1
62754,1
43714,1
27787,1
207334,1
153940,1
50880,1
83776,1
186250,1
254625,1
24638,1
63074,1
217626,1
82138,1
248980,1
230929,1
260342,1
253698,1
84003,1
188605,1
23983,1
145480,1
125992,1
116773,1
169790,1
18482,1
106727,1
155270,1
212172,1
175562,1
183089,1
187926,1
36830,1
95409,1
233473,1
197289,1
232536,1
35606,1
136389,1
17,1
116659,1
21868,1
83407,1
27066,1
98582,1
55116,1
196084,1
127863,1
98638,1
160167,1
109741,1
147276,1
1200,1
65960,1
119264,1
146518,1
123187,1
151814,1
57526,1
102863,1
38567,1
40159,1
179843,1
205019,1
190312,1
127547,1
30000,1
120572,1
255516,1
7172,1
100426,1
165011,1
154702,1
252374,1
127152,1
23427,1
46591,1
212202,1
133817,1
32696,1
218381,1
5326,1
13283,1
45957,1
254384,1
245717,1
116921,1
187930,1
188207,1
106032,1
152539,1
11542,1
170889,1
85534,1
155681,1
224092,1
140511,1
162390,1
81764,1
13479,1
61269,1
124513,1
246133,1
168453,1
199849,1
59177,1
15316,1
49067,1
8122,1
21657,1
186282,1
232093,1
28580,1
210892,1
80336,1
131495,1
228068,1
194590,1
118036,1
115763,1
80073,1
244231,1
191146,1
45223,1
118713,1
158220,1
125623,1
203162,1
185331,1
30870,1
48597,1
33190,1
256757,1
141264,1
250772,1
60957,1
214329,1
211900,1
162024,1
146922,1
81042,1
95549,1
77970,1
10909,1
228037,1
72025,1
147556,1
237233,1
35855,1
29749,1
6231,1
73978,1
101551,1
233578,1
6973,1
39844,1
2916,1
182672,1
142283,1
182035,1
10137,1
194980,1
239261,1
14230,1
48281,1
71781,1
58389,1
37347,1
25385,1
43821,1
171724,1
157535,1
34360,1
147245,1
252133,1
236576,1
258859,1
113978,1
230180,1
218406,1
178273,1
211285,1
249598,1
17548,1
172987,1
220716,1
145167,1
12390,1
167964,1
119102,1
138872,1
246534,1
25499,1
236304,1
28563,1
144726,1
256267,1
227308,1
116034,1
97322,1
256229,1
120,1
47723,1
95182,1
117222,1
194689,1
225079,1
101940,1
88853,1
184799,1
81932,1
218390,1
261083,1
63009,1
242696,1
134187,1
55382,1
185158,1
31473,1
91857,1
38378,1
16930,1
3106,1
82307,1
249887,1
189985,1
62887,1
10452,1
231781,1
41337,1
84841,1
36686,1
253995,1
195333,1
151456,1
150389,1
248415,1
228601,1
195723,1
217954,1
113167,1
49019,1
90504,1
114488,1
177284,1
129694,1
171214,1
189850,1
172640,1
185072,1
193252,1
51176,1
29370,1
192799,1
217011,1
134418,1
129824,1
66087,1
213008,1
141426,1
218394,1
241117,1
128894,1
175344,1
115425,1
94342,1
102826,1
141434,1
88729,1
90542,1
102201,1
2419,1
120456,1
80877,1
211252,1
10554,1
17022,1
105617,1
6404,1
203767,1
58323,1
165295,1
143428,1
143028,1
126797,1
116030,1
196231,1
191743,1
33413,1
42125,1
32969,1
239310,1
178777,1
65346,1
208881,1
26878,1
112119,1
19870,1
212234,1
235848,1
257851,1
227770,1
94431,1
7180,1
120965,1
255952,1
133367,1
242973,1
33814,1
244446,1
95100,1
66444,1
1488,1
4543,1
206925,1
203370,1
73083,1
54606,1
49709,1
122431,1
139966,1
87695,1
49235,1
75847,1
26301,1
260894,1
195453,1
216331,1
144701,1
224196,1
18332,1
254441,1
39302,1
113788,1
177037,1
69530,1
48822,1
109061,1
188984,1
220647,1
248510,1
40240,1
90514,1
48696,1
252770,1
14483,1
2952,1
166059,1
261958,1
215086,1
216308,1
160148,1
38541,1
111855,1
102377,1
25898,1
24347,1
45016,1
168818,1
116037,1
120963,1
22306,1
250,1
56587,1
242577,1
39244,1
261695,1
113887,1
112484,1
152033,1
229624,1
129182,1
152737,1
124713,1
27703,1
133497,1
178245,1
40604,1
41846,1
179533,1
191080,1
183985,1
197088,1
21239,1
110303,1
103694,1
261985,1
11047,1
139390,1
143369,1
42923,1
140284,1
