,grav
291170,4
122682,2
25142,4
197247,3
2182,3
178973,4
86117,4
289388,4
156068,1
153243,4
81872,4
299881,4
71000,1
317396,3
309309,1
311289,3
42860,1
95767,4
78629,3
262046,3
153617,4
155524,3
228897,4
40012,3
223320,1
320365,3
100678,3
166151,1
129078,1
133159,1
282436,1
173933,4
71781,4
80820,3
17042,4
89226,4
137924,4
174053,4
298387,1
234758,1
245642,1
170937,1
119682,4
14961,3
57544,4
153746,1
154913,4
155332,1
67859,4
18572,1
316963,4
244673,1
141800,1
191971,1
310109,3
282828,4
174533,4
307345,3
193864,4
213230,1
35255,4
218630,1
214752,1
317076,1
20387,1
290674,3
148363,4
295707,4
194864,1
47745,1
230513,1
90786,1
169918,1
98165,1
103226,4
83374,1
98866,4
297233,2
240106,1
13043,1
563,1
87114,4
108772,1
115071,4
296320,1
108521,1
104339,4
231531,4
212838,3
85514,4
319851,4
33271,4
255680,4
103197,4
323497,4
268157,1
61657,4
321693,4
38609,4
8924,1
34556,1
131369,4
71047,4
51733,1
194920,3
258730,1
311801,1
41384,4
211458,4
210240,1
188173,1
39922,4
263772,1
91103,1
22268,1
200786,4
24286,1
21503,2
160180,4
316475,1
60524,1
65764,1
35894,4
249842,1
114251,3
260907,1
221431,2
50432,1
99881,4
149715,4
80315,1
5727,4
297498,4
74034,1
26293,1
199072,4
26621,1
149885,4
257419,4
123262,1
23816,1
291201,1
197194,4
139488,4
303069,4
100471,1
88955,1
263627,3
64012,1
69286,4
5114,1
41872,1
112987,1
86882,1
889,4
32964,1
156402,1
202627,1
129785,1
245631,1
310552,1
222223,1
17648,1
167927,1
46480,1
318724,1
47385,1
258408,1
123397,3
29524,1
138504,4
123731,1
171917,1
183042,1
236723,4
195675,1
291696,3
34607,4
201075,4
144547,4
78287,1
150888,1
114275,1
42059,1
8740,4
178980,4
162088,4
323292,1
55682,1
180817,3
308206,1
218218,4
160371,4
91337,1
255927,1
53396,4
165448,3
260886,3
115650,4
112882,1
284519,1
160870,1
290769,1
52343,4
175378,1
205988,4
223434,4
243605,4
294296,4
101938,1
178107,3
5400,4
24692,3
78297,4
264011,1
211515,4
91476,2
13226,1
104783,1
98229,4
15543,4
191885,1
159651,3
304241,1
64675,1
147874,1
83968,1
6237,4
219241,3
271964,1
132621,3
259082,3
177768,3
217009,1
155811,1
106803,1
43711,1
159324,1
56561,1
